Target1 , The letters are green. , Target_B_dots_green_.png , True , 4-8
Target1 , The letters are red. , Target_B_dots_green_.png , False , 5-9
Target1 , The letters are blue. , Target_B_dots_blue_.png , True , 4-8
Target1 , The letters are red. , Target_B_dots_green_.png , False , 5-9
Filler-Target1 , All letters are red. , Target_B_dots_blue_.png , False , X-X
Filler-Target1 , All letters are red. , Target_B_dots_blue_.png , False , X-X
Target1 , The letters are green. , Target_B_dots_green_.png , True , 4-8
Target1 , The letters are blue. , Target_B_dots_green_.png , False , 5-9
Target1 , The letters are green. , Target_B_dots_green_.png , True , 4-8
Target1 , The letters are blue. , Target_B_dots_green_.png , False , 5-9
Filler-Target1 , All letters are green. , Target_B_dots_green_.png , True , X-X
Filler-Target1 , All letters are blue. , Target_B_dots_green_.png , False , X-X
Target1 , The letters are blue. , Target_B_crosses_blue_.png , True , 4-8
Target1 , The letters are red. , Target_B_crosses_green_.png , False , 5-9
Target1 , The letters are green. , Target_B_crosses_green_.png , True , 4-8
Target1 , The letters are green. , Target_B_crosses_blue_.png , False , 5-9
Filler-Target1 , All letters are red. , Target_B_crosses_green_.png , False , X-X
Filler-Target1 , All letters are blue. , Target_B_crosses_green_.png , True , X-X
Target1 , The letters are blue. , Target_B_crosses_blue_.png , True , 4-8
Target1 , The letters are red. , Target_B_crosses_blue_.png , False , 5-9
Target1 , The letters are red. , Target_B_crosses_red_.png , True , 4-8
Target1 , The letters are red. , Target_B_crosses_green_.png , False , 5-9
Filler-Target1 , All letters are red. , Target_B_crosses_red_.png , True , X-X
Filler-Target1 , All letters are red. , Target_B_crosses_red_.png , False , X-X
Target2 , Between 4 and 8 dots form a triangle. , Target_A_dots_red_triangle_above_.png , Target , 4-8
Target2 , Between 5 and 9 dots form a square. , Target_A_dots_green_square_below_.png , Target , 5-9
Target2 , Between 4 and 8 dots form a triangle. , Target_A_dots_blue_triangle_below_.png , Target , 4-8
Target2 , Between 5 and 9 dots form a square. , Target_A_dots_red_square_above_.png , Target , 5-9
