Target1 , The dots are green. , Target_A_dots_green_triangle_above_.png , True , 4-8
Target1 , The dots are blue. , Target_A_dots_red_square_above_.png , False , 5-9
Target1 , The dots are blue. , Target_A_dots_blue_triangle_below_.png , True , 4-8
Target1 , The dots are green. , Target_A_dots_blue_square_above_.png , False , 5-9
Filler-Target1 , All dots are blue. , Target_A_dots_blue_triangle_below_.png , True , X-X
Filler-Target1 , All dots are green. , Target_A_dots_blue_triangle_below_.png , False , X-X
Target1 , The dots are red. , Target_A_dots_red_triangle_below_.png , True , 4-8
Target1 , The dots are green. , Target_A_dots_red_square_above_.png , False , 5-9
Target1 , The dots are red. , Target_A_dots_red_triangle_above_.png , True , 4-8
Target1 , The dots are red. , Target_A_dots_green_square_below_.png , False , 5-9
Filler-Target1 , All dots are green. , Target_A_dots_red_triangle_above_.png , False , X-X
Filler-Target1 , All dots are green. , Target_A_dots_red_triangle_above_.png , True , X-X
Target1 , The crosses are red. , Target_A_crosses_red_triangle_above_.png , True , 4-8
Target1 , The crosses are blue. , Target_A_crosses_green_square_above_.png , False , 5-9
Target1 , The crosses are blue. , Target_A_crosses_blue_triangle_below_.png , True , 4-8
Target1 , The crosses are red. , Target_A_crosses_green_square_above_.png , False , 5-9
Filler-Target1 , Some crosses are green. , Target_D_crosses_blue_.png , False , X-X
Filler-Target1 , Some crosses are green. , Target_D_crosses_blue_.png , True , X-X
Target1 , The crosses are red. , Target_A_crosses_red_triangle_below_.png , True , 4-8
Target1 , The crosses are green. , Target_A_crosses_blue_square_below_.png , False , 5-9
Target1 , The crosses are blue. , Target_A_crosses_blue_triangle_above_.png , True , 4-8
Target1 , The crosses are blue. , Target_A_crosses_green_square_above_.png , False , 5-9
Filler-Target1 , Some crosses are green. , Target_D_crosses_blue_.png , False , X-X
Filler-Target1 , Some crosses are green. , Target_D_crosses_blue_.png , True , X-X
Target2 , Between 6 and 10 dots are connected to the letter. , Target_D_dots_green_.png , Target , 6-10
Target2 , Between 5 and 9 dots are connected to the letter. , Target_D_dots_green_.png , Target , 5-9
